INCITS	pop2013	votes_dem	votes_gop	total_votes	pop_estimate
18133	37505	3356	10637	14680	37505
18135	25627	2446	7515	10456	25627
18137	28419	2471	9806	12790	28419
18139	17004	1525	5292	7214	17004
18141	266709	52247	52019	109452	266709
18143	23972	2642	6074	9060	23972
18145	44729	4247	12718	17935	44729
18147	20944	2861	6572	9959	20944
18149	23197	2489	6367	9226	23197
18151	34358	3741	10127	14530	34358
18153	21223	2113	6138	8559	21223
18155	10526	930	2558	3639	10526
18157	180174	27207	30711	61916	180174
18159	15650	1587	5589	7510	15650
18161	7277	715	2445	3286	7277
18163	181398	28296	40422	71957	181398
18165	15878	2081	4511	6913	15878
18167	108291	15922	21924	39569	108291
18169	32358	3018	9819	13415	32358
18171	8415	839	2896	3919	8415
18173	61049	9086	19133	29609	61049
18175	27780	2636	8206	11333	27780
18177	67893	8322	16028	25575	67893
18179	27814	2585	9999	13123	27814
18181	24466	2563	6813	9902	24466
18183	33294	3379	11357	15535	33294
19001	7472	1127	2456	3759	7472
19003	3894	565	1393	2082	3894
19005	14169	2409	4072	6837	14169
19007	12692	1813	4031	6096	12692
19009	5873	1079	2135	3379	5873
19011	25699	4672	8226	13690	25699
19013	132546	32006	27382	63221	132546
19015	26364	5517	7458	13984	26364
19017	24624	5349	7199	13350	24624
19019	20976	3966	5504	10137	20976
19021	20567	2851	4895	8179	20567
19023	15021	2163	4918	7457	15021
19025	9926	1396	3466	5105	9926
19027	20598	3305	6627	10435	20598
19029	13598	1946	4755	7055	13598
19031	18393	3578	5275	9386	18393
19033	43575	9840	11583	22633	43575
19035	11945	1676	4188	6186	11945
19037	12321	2264	3739	6367	12321
19039	9325	1463	2706	4405	9325
19041	16491	2246	5870	8542	16491
19043	17773	3236	5309	9098	17773
19045	48420	10079	11249	22748	48420
19047	17434	1985	4608	6862	17434
19049	74641	15662	19288	37617	74641
19051	8791	976	2721	3858	8791
19053	8136	1201	2296	3703	8136
19055	17534	2956	5688	9165	17534
19057	40480	8178	9479	18713	40480
19059	16955	3051	6743	10247	16955
19061	95697	22774	23384	49037	95697
19063	9996	1356	3121	4707	9996
19065	20502	3666	5591	9813	20502
19067	16092	3177	4371	7985	16092
19069	10548	1490	3153	4915	10548
19071	7080	959	2401	3554	7080
19073	9139	1688	2819	4762	9139
19075	12314	1847	4516	6766	12314
19077	10687	1720	3603	5654	10687
19079	15312	2715	4450	7589	15312
19081	11094	1582	3972	5815	11094
19083	17441	2774	5231	8423	17441
19085	14431	2123	4892	7378	14431
19087	20222	2897	5764	9286	20222
19089	9526	1674	2611	4507	9526
19091	9688	1251	3564	5033	9688
19093	7141	792	2655	3590	7141
19095	16330	3070	5193	8789	16330
19097	19587	3837	5821	10204	19587
19099	36641	7108	10556	18776	36641
19101	16810	3702	3738	8001	16810
19103	139155	49942	20993	75637	139155
19105	20611	3779	5718	10011	20611
19107	10329	1265	3385	4858	10329
19109	15321	2529	5637	8505	15321
19111	35682	6195	8762	15893	35682
19113	216111	58481	48183	114664	216111
19115	11282	1643	3060	4943	11282
19117	8746	1236	2873	4297	8746
19119	11712	917	5188	6336	11712
19121	15448	2666	5336	8523	15448
19123	22417	2606	7404	10494	22417
19125	33252	5469	10940	17554	33252
19127	40994	7623	9125	17700	40994
19129	14896	2080	5050	7608	14896
19131	10709	1879	3180	5360	10709
19133	9121	1244	3115	4525	9121
19135	8012	1053	2635	3844	8012
19137	10424	1312	3431	4998	10424
19139	42836	8284	9549	19086	42836
19141	14044	1314	5735	7348	14044
19143	6211	552	2528	3197	6211
19145	15713	1801	4875	6968	15713
19147	9185	1395	3079	4674	9185
19149	24957	2878	9659	13057	24957
19151	7154	962	2692	3831	7154
19153	451677	119671	93421	228420	451677
19155	92728	15341	24441	42226	92728
19157	18601	4272	4936	9693	18601
19159	5072	753	1820	2684	5072
19161	10071	1269	3692	5158	10071
19163	170385	40302	39083	84878	170385
19165	11961	1649	4340	6270	11961
19167	34547	2289	14761	17989	34547
19169	92406	25085	19111	48910	92406
19171	17576	3194	4968	8636	17576
19173	6161	755	2108	3003	6161
19175	12583	1920	3521	5768	12583
19177	7436	843	2524	3526	7436
19179	35391	5591	8710	14996	35391
19181	47336	10371	14773	26916	47336
19183	22015	3938	6170	10824	22015
19185	6402	719	2069	2921	6402
19187	37044	6293	10049	17239	37044
19189	10554	1920	3437	5717	10554
19191	20994	5238	5332	11217	20994
19193	102130	16102	24627	42933	102130
19195	7541	1523	2443	4216	7541
19197	12972	1890	3790	5949	12972
20001	13124	1398	3575	5314	13124
20003	7897	665	2386	3277	7897
20005	16749	1946	3977	6393	16749
20007	4947	281	1822	2209	4947
20009	27509	1823	7766	10088	27509
20011	14852	1306	4314	5918	14852
20013	9997	850	2861	3960	9997
20015	65803	6489	18781	27051	65803
20017	2700	313	964	1342	2700
20019	3552	236	1552	1845	3552
20021	20978	1959	6017	8386	20978
20023	2694	188	1172	1409	2694
20025	2193	118	813	983	2193
20027	8406	665	2831	3727	8406
20029	9292	744	2856	3831	9292
20031	8412	719	2990	3962	8412
20033	1955	102	705	857	1955
20035	36204	3436	8016	12171	36204
20037	39278	5064	8394	14404	39278
20039	2930	178	1220	1460	2930
20041	19609	1582	5905	8008	19609
20043	7851	584	2601	3366	7851
20045	114322	30089	14308	48231	114322
20047	2945	208	1033	1308	2945
20049	2655	160	1048	1259	2655
20051	29061	2669	8311	11660	29061
20053	6398	515	1933	2626	6398
20055	37098	3006	6155	9731	37098
20057	34819	2032	4994	7425	34819
20059	25740	2829	7025	10658	25740
20061	37384	2569	4116	7129	37384
20063	2769	149	1127	1328	2769
20065	2593	185	1013	1265	2593
20067	7950	427	1755	2311	7950
20069	6009	257	1651	2011	6009
20071	1290	83	523	639	1290
20073	6424	484	2146	2811	6424
20075	2609	114	690	847	2609
20077	5860	388	1950	2513	5860
20079	34741	5006	8503	14540	34741
20081	4141	228	1011	1300	4141
20083	1950	124	845	1006	1950
20085	13366	1489	3888	5727	13366
20087	18813	2483	5112	8151	18813
20089	3046	180	1204	1483	3046
20091	566933	126324	133907	279753	566933
20093	3923	224	1048	1325	3923
20095	7844	594	2507	3281	7844
20097	2523	111	855	1023	2523
20099	20916	2234	5232	7919	20916
20101	1720	104	684	831	1720
20103	78185	10064	17387	29676	78185
20105	3147	214	1168	1448	3147
20107	9516	721	3377	4279	9516
20109	2798	149	1124	1348	2798
20111	33510	4456	6354	11745	33510
20113	29569	3183	8407	12443	29569
20115	12219	1177	3928	5465	12219
20117	10002	1060	3250	4578	10002
20119	4343	206	1390	1675	4343
20121	32835	3949	9839	14712	32835
20123	6378	469	2216	2824	6378
20125	34292	2557	8466	11623	34292
20127	5741	586	1790	2568	5741
20129	3143	145	970	1160	3143
20131	10161	714	4066	5025	10161
20133	16430	1464	4340	6151	16430
20135	3073	160	1216	1435	3073
20137	5622	277	1808	2190	5622
20139	16142	1730	4713	6894	16142
20141	3818	231	1437	1753	3818
20143	6042	424	2261	2866	6042
20145	6971	567	1872	2602	6971
20147	5540	296	2200	2611	5540
20149	22691	2191	7451	10359	22691
20151	9878	769	2824	3806	9878
20153	2589	160	1209	1448	2589
20155	64190	6670	15100	23448	64190
20157	4820	370	1993	2484	4820
20159	10011	668	2652	3567	10011
20161	75394	8892	9817	20475	75394
20163	5190	273	1999	2378	5190
20165	3186	227	1177	1474	3186
20167	6933	454	2544	3148	6933
20169	55740	6084	13367	21206	55740
20171	5035	232	1832	2159	5035
20173	505415	66716	101319	180750	505415
20175	23390	1491	3025	4743	23390
20177	178831	33270	35349	73648	178831
20179	2553	126	1186	1362	2553
20181	6115	340	2043	2537	6115
20183	3706	295	1635	2014	3706
20185	4359	303	1485	1884	4359
20187	2194	132	580	742	2194
20189	5816	215	1564	1853	5816
20191	23591	2039	6844	9494	23591
20193	7948	467	2832	3483	7948
20195	2980	193	1211	1459	2980
20197	7051	773	2358	3340	7051
20199	1569	45	711	779	1569
20201	5629	378	2136	2677	5629
20203	2192	139	765	934	2192
20205	9105	550	2747	3482	9105
20207	3221	270	1063	1420	3221
20209	160384	29346	15520	47467	160384
21001	18732	1323	6637	8228	18732
21003	20311	1349	6466	8085	20311
21005	21811	2634	8242	11414	21811
21007	8332	816	3161	4097	8332
21009	43027	4275	13483	18473	43027
21011	11961	1361	3082	4577	11961
21013	27885	1720	7764	9714	27885
21015	124442	15026	39082	57550	124442
21017	19998	2791	5569	8791	19998
21019	48886	6021	13591	20443	48886
21021	29013	4281	8040	12928	29013
21023	8416	705	2711	3522	8416
21025	13545	1537	3991	5728	13545
21027	20040	1960	6484	8765	20040
21029	76854	8255	26210	36036	76854
21031	12793	947	4428	5575	12793
21033	12823	1260	4507	5972	12823
21035	37657	4749	10367	16039	37657
21037	90988	14658	25050	42471	90988
21039	5001	432	2094	2599	5001
21041	10953	1106	2588	3851	10953
21043	27202	2276	7587	10267	27202
21045	16067	767	5482	6438	16067
21047	74167	7188	14108	22069	74167
21049	35614	4706	10710	16193	35614
21051	21364	752	5861	6762	21364
21053	10146	547	3809	4454	10146
21055	9255	617	3290	4036	9255
21057	6789	459	2502	3061	6789
21059	98218	14163	28907	45752	98218
21061	12062	979	4135	5239	12062
21063	7637	740	2000	2847	7637
21065	14488	1108	4236	5538	14488
21067	308428	69776	56890	136112	308428
21069	14508	1348	4722	6250	14508
21071	38728	4015	11993	16521	38728
21073	49648	10717	11819	23840	49648
21075	6385	774	1549	2381	6385
21077	8474	749	2443	3334	8474
21079	16915	1453	5904	7613	16915
21081	24753	1910	7268	9551	24753
21083	37451	3308	12671	16582	37451
